POLYGON_ID,NAME,NUTS_ID,POPULATION,OUTBREAK-R_BASELINE,OUTBREAK-R_EVENT,OUTBREAK-R_BASELINE_lower,OUTBREAK-R_BASELINE_upper,OUTBREAK-R_EVENT_lower,OUTBREAK-R_EVENT_upper,RELATIVE_RISK,EMERGENCE/IMPORTATION_HOSTPOT,OUTBREAK_HOTSPOT
ITA.11.1_1,Ancona,ITI32,467451,1.386467440472483,1.3954084579794024,1.0022128726997295,1.7218573189982636,0.9837424012643027,1.7253799689007385,0.500140986672988,False,False
ITA.13.5_1,Novara,ITC15,364980,1.4221551497723226,1.4266130029114503,1.0280098590647873,1.766177972814173,1.005741145636444,1.7639634363124097,0.5281745286973337,False,False
ITA.15.4_1,Enna,ITG16,160161,1.4116151610381489,1.4061738522404754,1.0203909910848084,1.7530883349227044,0.9913318455882106,1.73869105033296,0.5201052295866254,False,False
ITA.15.3_1,Catania,ITG17,1072634,1.4593483332724242,1.452785043198927,1.054895082758019,1.8123682787363022,1.0241920483890834,1.796324365328609,0.5553262824178373,True,False
ITA.15.7_1,Ragusa,ITG18,315601,1.5047058814314385,1.4955760189240008,1.087681946201109,1.868697929177138,1.0543590557420286,1.849234100785329,0.5858553728230413,False,True
ITA.13.4_1,Cuneo,ITC16,586113,1.4131712234085694,1.4308644687620429,1.0215157962499608,1.7550208126016706,1.0087383664149472,1.7692202440772844,0.5213073629996721,False,False
ITA.7.2_1,Pordenone,ITH41,310502,1.3613069982653527,1.4057944140992444,0.9840255584313106,1.6906105040360484,0.9910643472897366,1.7382218866521946,0.4791089327876365,False,False
ITA.7.4_1,Udine,ITH42,526474,1.3435221922653824,1.40698542959758,0.9711697487733761,1.6685235097914684,0.9919039956662216,1.7396945409647924,0.4635649715113793,False,False
ITA.13.2_1,Asti,ITC17,212010,1.4126676171678105,1.4237377989574815,1.0211517627050486,1.7543953827745928,1.0037141692155775,1.7604083343776933,0.52091871674162,False,False
ITA.11.4_1,Macerata,ITI33,310815,1.3672952292508418,1.3815753794274603,0.9883541722906531,1.6980473028019123,0.9739902847182483,1.708275789471934,0.484214286844713,False,False
ITA.11.2_1,Ascoli Piceno,ITI34,206172,1.4013970212649405,1.4037594922145378,1.0130047727598654,1.7403984020462062,0.9896297573459826,1.735705767849794,0.5121163557751398,False,False
ITA.11.3_1,Fermo,ITI35,171737,1.3486756770950887,1.3746658668029115,0.9748949634339054,1.6749236352566235,0.9691191801309347,1.699732387997554,0.4681288039359057,False,False
ITA.8.5_1,Viterbo,ITI41,309795,1.3973029797185186,1.402037199637342,1.0100453804081826,1.7353140017961814,0.9884155664573708,1.7335762056443427,0.5088686644672269,False,False
ITA.13.1_1,Alessandria,ITC18,417288,1.4422360387122488,1.4443478251275943,1.0425254003630304,1.7911164781002549,1.0182439339728198,1.7858920026965202,0.5430834699871911,False,False
ITA.15.8_1,Siracusa,ITG19,389344,1.4529058163446107,1.4505168313066894,1.050238086705201,1.8043673011430994,1.022592992427593,1.7935197905521623,0.5507656843615676,False,False
ITA.14.8_1,Sassari,ITG25,325288,1.4839187388030162,1.4645770184812674,1.0726558869366012,1.8428823257010027,1.0325052172061167,1.810904782861253,0.5721986176601188,False,False
ITA.7.1_1,Gorizia,ITH43,137795,1.3770873195505364,1.4362306113787413,0.995432419253054,1.7102081237910265,1.0125214178885793,1.7758553156422963,0.4924274071305797,False,False
ITA.7.3_1,Trieste,ITH44,231445,1.533429529789614,1.5416524977909125,1.1084449365859779,1.9043698986083155,1.0868422943974507,1.906206260599786,0.6038490614175254,False,True
ITA.6.6_1,Piacenza,ITH51,286433,1.3882873689850463,1.4010579427096892,1.0035284144351075,1.7241174926871192,0.9877252047529143,1.7323653843412914,0.5016204356178527,False,False
ITA.6.5_1,Parma,ITH52,454873,1.4459338484765316,1.457460857751193,1.0451983751754037,1.7957087971270356,1.0274884287494068,1.8021058673115167,0.545764329112493,False,False
ITA.8.3_1,Rieti,ITI42,152497,1.417961952318627,1.4495334998581857,1.0249787915162891,1.7609704305994134,1.0218997582459752,1.7923039312284377,0.5249847948869208,False,False
ITA.8.4_1,Roma,ITI43,4253314,1.4642524171541764,1.4720825162634623,1.0584400170648904,1.8184586725517524,1.0377964825476151,1.820185101792944,0.5587591855336617,True,False
ITA.14.4_1,Nuoro,ITG26,150913,1.516334190398333,1.462228682604866,1.0960875102945433,1.8831391546381537,1.030849675016433,1.8080011372238596,0.5932592607849468,False,False
ITA.14.1_1,Cagliari,ITG27,548917,1.4663290966113318,1.4482419645492526,1.0599411521248836,1.8210377058691867,1.020989244884198,1.7907069872380108,0.5602029216565501,False,False
ITA.6.8_1,Reggio E,ITH53,529609,1.3539401128774706,1.3779797554688507,0.9787003793813626,1.6814615509823627,0.971455422809637,1.703829910189485,0.47274028654026357,False,False
ITA.6.4_1,Modena,ITH54,707119,1.4089877953217547,1.422333450153724,1.0184917905227218,1.7498254029876303,1.0027241240022773,1.758671899944107,0.5180668519736598,False,False
ITA.6.1_1,Bologna,ITH55,1021501,1.468158941892445,1.4292534703079818,1.0612638622313364,1.8233101952172563,1.0076026362432053,1.7672282936582708,0.5614701805563485,True,False
ITA.8.2_1,Latina,ITI44,562592,1.4152568459654342,1.4324391843880298,1.023023395861078,1.757610952376595,1.0098485177275314,1.7711673318867758,0.5229126890502934,False,False
ITA.8.1_1,Frosinone,ITI45,477502,1.4226777621614908,1.4580539079502237,1.0283876312710196,1.766827006423633,1.0279065204010152,1.8028391557820782,0.5285701924921967,False,False
ITA.14.7_1,Oristano,ITG28,155764,1.4275316734628862,1.430072953378406,1.0318962981514646,1.772855090788332,1.0081803597326144,1.7682415594633316,0.5322252492182186,False,False
ITA.6.2_1,Ferrara,ITH56,344510,1.428209237063799,1.412757728083119,1.032386077386869,1.773696558688163,0.9959733810426016,1.7468318118653043,0.5327326365652076,False,False
ITA.14.6_1,Olbia,ITG29,159119,1.5343327439794971,1.438539400398834,1.1090978281443957,1.905491602528707,1.0141490801272959,1.7787100627988774,0.6043990248599687,False,False
ITA.6.7_1,Ravenna,ITH57,387970,1.376796689515265,1.3736448716157899,0.9952223363084138,1.709847189636538,0.9683993935685739,1.6984699586105667,0.4921860257306598,False,False
ITA.2.5_1,Lecce,ITF45,782165,1.4287862106483762,1.4356918740318443,1.0328031447746715,1.774413103599693,1.012141615997415,1.7751891833557105,0.5331641549057698,False,False
ITA.6.3_1,Forlì-Cesena,ITH58,395306,1.371534351120494,1.395852336258419,0.9914184364649785,1.703311878661623,0.984055328910378,1.7259288108450925,0.48779027436636485,False,False
ITA.6.9_1,Rimini,ITH59,336798,1.365007806603399,1.402996263137401,0.9867007007732904,1.6952065469989492,0.9890916920929278,1.7347620583904997,0.4822716006179407,False,False
ITA.19.1_1,VdA,ITC20,125034,1.31294229695678,1.4416319634754062,0.9490649637424006,1.6305462627142677,1.0163292915267694,1.7825339226546546,0.4354377778694996,False,False
ITA.9.2_1,Imperia,ITC31,209382,1.4235234959705403,1.440805924107021,1.0289989729336972,1.767877325317916,1.0157469459439064,1.7815125501872704,0.5292096075155601,False,False
ITA.9.4_1,Savona,ITC32,271832,1.4399061479165232,1.4386452089110395,1.0408412305951018,1.7882229809996524,1.014223673569292,1.778840891794828,0.541384175012606,False,False
ITA.17.1_1,Bolzano,ITH10,532644,1.3194850888685428,1.4819440847339325,0.9537944439205499,1.6386717720562771,1.0447487430071944,1.8323786302208356,0.44161036932410797,False,False
ITA.13.8_1,Vercelli,ITC12,169390,1.4254539260558587,1.4419717476312057,1.030394391120145,1.770274731181329,1.0165688343498231,1.7829540553927172,0.5306650395170518,False,False
ITA.15.1_1,Agrigento,ITG14,423488,1.4363295276115062,1.433561871994176,1.0382558580102068,1.7837811674599326,1.0106399959468473,1.7725555008461231,0.5387601806882625,False,False
ITA.15.2_1,Caltanissetta,ITG15,255931,1.437254625955573,1.4357384036665402,1.0389245686065558,1.7849300493651448,1.0121744187042525,1.7752467158288767,0.5394406768386502,False,False
ITA.9.1_1,Genova,ITC33,826194,1.4720631004217248,1.5068514075675399,1.0640859969752805,1.8281587792820067,1.0623080385907102,1.863175774705884,0.5641588365991442,False,True
ITA.9.3_1,La Spezia,ITC34,217418,1.4733251532982428,1.4512248548456392,1.064998276342218,1.8297261258485116,1.02309213858969,1.7943952400484218,0.5650235755930122,False,False
ITA.10.12_1,Varese,ITC41,884876,1.4359850925464315,1.444503919159545,1.0380068819102635,1.7833534127068054,1.0183539779652695,1.786085008202867,0.5385064953398011,False,False
